Below data is only the first 10 rows of the actual 391k rows I have in the real file hidden in .gitignore.

et_time,open,high,low,close,volume,day_of_week,trade_date
2021-01-04 00:00:00,1921.648,1922.658,1921.448,1922.305,0.2,1.0,2021-01-04
2021-01-04 00:05:00,1922.315,1923.605,1921.345,1923.468,0.14,1.0,2021-01-04
2021-01-04 00:10:00,1923.485,1923.818,1922.585,1922.745,0.21,1.0,2021-01-04
2021-01-04 00:15:00,1922.755,1923.835,1922.635,1923.835,0.16,1.0,2021-01-04
2021-01-04 00:20:00,1923.865,1925.475,1923.668,1925.335,0.45,1.0,2021-01-04
2021-01-04 00:25:00,1925.335,1925.355,1924.148,1924.188,0.2,1.0,2021-01-04
2021-01-04 00:30:00,1924.194,1924.865,1924.165,1924.465,0.12,1.0,2021-01-04
2021-01-04 00:35:00,1924.495,1925.124,1924.308,1924.665,0.11,1.0,2021-01-04
2021-01-04 00:40:00,1924.615,1924.835,1922.798,1923.018,0.16,1.0,2021-01-04
2021-01-04 00:45:00,1922.968,1923.895,1922.725,1923.575,0.17,1.0,2021-01-04
